load_zone,timestamp,component,injects_or_withdraws,value
Chongqing,2025.09.20.08,InjectIntoDistributedGrid,injects,14406.0216172745
Chongqing,2025.09.20.08,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.09.20.08,EvDischargePower,injects,0.0
Chongqing,2025.09.20.08,zone_demand_mw,withdraws,-14473.8210247745
Chongqing,2025.09.20.08,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.09.20.08,EvChargePower,withdraws,-1.7961255
Chongqing,2025.09.20.12,ZoneTotalDistributedDispatch,injects,216.58171500000006
Chongqing,2025.09.20.12,InjectIntoDistributedGrid,injects,17925.641944890802
Chongqing,2025.09.20.12,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.09.20.12,EvDischargePower,injects,0.0
Chongqing,2025.09.20.12,zone_demand_mw,withdraws,-18142.2236598908
Chongqing,2025.09.20.12,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.09.20.12,EvChargePower,withdraws,-0.0
Chongqing,2025.09.20.16,ZoneTotalDistributedDispatch,injects,101.90657400000002
Chongqing,2025.09.20.16,InjectIntoDistributedGrid,injects,20379.58828910399
Chongqing,2025.09.20.16,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.09.20.16,EvDischargePower,injects,0.0
Chongqing,2025.09.20.16,zone_demand_mw,withdraws,-19382.3255745444
Chongqing,2025.09.20.16,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.09.20.16,EvChargePower,withdraws,-1099.1692885595912
Chongqing,2025.09.20.20,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.09.20.20,InjectIntoDistributedGrid,injects,17802.98701450743
Chongqing,2025.09.20.20,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.09.20.20,EvDischargePower,injects,0.0
Chongqing,2025.09.20.20,zone_demand_mw,withdraws,-17732.1697692522
Chongqing,2025.09.20.20,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.09.20.20,EvChargePower,withdraws,-70.8172452552335
Chongqing,2025.10.26.00,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.10.26.00,InjectIntoDistributedGrid,injects,16460.77931284757
Chongqing,2025.10.26.00,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.10.26.00,EvDischargePower,injects,0.0
