load_zone,timestamp,ZoneTotalDistributedDispatch,InjectIntoDistributedGrid,StorageNetDisChargeforDis,EvDischargePower,zone_demand_mw,StorageNetChargeforDis,EvChargePower
Hubei,2025.06.16.08,1796.2534333333338,27492.54644690907,0.0,0.0,-29286.2265562424,-0.0,-2.573324
Hubei,2025.06.16.12,3668.6025273333344,30928.172796655275,0.0,0.0,-34468.4216734623,-0.0,-128.3536505263158
Hubei,2025.06.16.16,1571.0535493333339,35674.15417887433,0.0,0.0,-36047.5910732603,-0.0,-1197.6166549473687
Hubei,2025.06.16.20,0.0,33786.604091204,0.0,0.0,-33786.604091204,-0.0,-0.0
Hubei,2025.07.22.00,0.0,37573.01232534723,0.0,0.0,-37270.4735760279,-0.0,-302.53874931932705
Hubei,2025.07.22.04,0.0,33726.63453691261,0.0,0.0,-33623.7015769126,-0.0,-102.93296000000001
Hubei,2025.07.22.08,576.8148484000002,33217.556669388505,0.0,0.0,-33791.7981937885,-0.0,-2.573324
Hubei,2025.07.22.12,2212.765095333334,37931.62068587637,0.0,0.0,-39771.2538012097,-0.0,-373.13198
Hubei,2025.07.22.16,1300.4459468000002,40753.21094668951,0.0,0.0,-41593.3722489141,-0.0,-460.28464457540986
Hubei,2025.07.22.20,0.0,38984.526854380594,0.0,0.014390999999999998,-38984.5412453806,-0.0,-0.0
Hubei,2025.08.19.00,0.0,41328.4458879667,0.0,0.0,-41049.0474951246,-0.0,-279.3983928421051
Hubei,2025.08.19.04,0.0,37032.5566209153,0.0,0.0,-37032.5566209153,-0.0,-0.0
Hubei,2025.08.19.08,433.91919620000016,36786.34942144589,0.0,0.0,-37217.6952936459,-0.0,-2.573324
Hubei,2025.08.19.12,722.7915454666669,43453.70351486104,0.0,0.0,-43803.3630803277,-0.0,-373.13198
Hubei,2025.08.19.16,476.44667840000017,45333.76577959891,0.0,0.0,-45810.2124579989,-0.0,-0.0
Hubei,2025.08.19.20,0.0,42936.89163602581,0.0,0.0,-42936.8916360258,-0.0,-0.0
Hubei,2025.09.20.00,0.0,33720.9051494925,0.0,0.0,-33720.9051494925,-0.0,-0.0
Hubei,2025.09.20.04,0.0,30421.4447218395,0.0,0.0,-30421.4447218395,-0.0,-0.0
Hubei,2025.09.20.08,1807.2606953333338,28768.844767964365,0.0,0.0,-30573.5321392977,-0.0,-2.573324
Hubei,2025.09.20.12,3910.608464000001,32446.039377992798,0.0,0.0,-35983.5158619928,-0.0,-373.13198
Hubei,2025.09.20.16,1540.4196966666668,36824.89977513861,0.0,0.0,-37632.0992431737,-0.0,-733.2202286315793
Hubei,2025.09.20.20,0.0,35271.7283012335,0.0,0.0,-35271.7283012335,-0.0,-0.0
Hubei,2025.10.26.00,0.0,28684.43944072158,0.0,0.0,-27995.7944552479,-0.0,-688.6449854736843
Hubei,2025.10.26.04,0.0,25256.5140137444,0.0,0.0,-25256.5140137444,-0.0,-0.0
Hubei,2025.10.26.08,1716.5479949333337,23668.805469402665,0.0,0.0,-25382.780140336,-0.0,-2.573324
Hubei,2025.10.26.12,3466.7999473333343,26780.592803055963,0.0,0.0,-29874.2607703893,-0.0,-373.13198
Hubei,2025.10.26.16,780.6095201333335,30462.33934677267,0.0,0.0,-31242.948866906,-0.0,-0.0
Hubei,2025.10.26.20,0.0,29283.3055918132,0.0,0.014390999999999998,-29283.3199828132,-0.0,-0.0
Hubei,2025.11.19.00,0.0,30431.892863268004,0.0,0.0,-29816.3787664259,-0.0,-615.5140968421057
Hubei,2025.11.19.04,0.0,27001.894136370003,0.0,0.0,-26898.96117637,-0.0,-102.93296000000001
Hubei,2025.11.19.08,505.3895966000001,26528.048872845,0.0,0.0,-27033.438469445,-0.0,-0.0
Hubei,2025.11.19.12,3119.302335333334,28697.700604904167,0.0,0.0,-31817.0029402375,-0.0,-0.0
Hubei,2025.11.19.16,496.2388694666668,32778.45882431944,0.0,0.0,-33274.6976937861,-0.0,-0.0
Hubei,2025.11.19.20,0.0,31187.632897566797,0.0,0.0,-31187.6328975668,-0.0,-0.0
Hubei,2025.12.16.00,0.0,34323.58962022556,0.0,0.0,-33835.4081789624,-0.0,-488.1814412631583
Hubei,2025.12.16.04,0.0,30627.6770317845,0.0,0.0,-30524.7440717845,-0.0,-102.93296000000001
Hubei,2025.12.16.08,1005.2639557333335,29674.65728700507,0.0,0.0,-30677.3479187384,-0.0,-2.573324
Hubei,2025.12.16.12,3861.5564260000015,32617.277388134098,0.0,0.0,-36105.7018341341,-0.0,-373.13198
Hubei,2025.12.16.16,638.1536364000002,37121.7295244814,0.0,0.0,-37759.8831608814,-0.0,-0.0
Hubei,2025.12.16.20,0.0,35391.4973206956,0.0,0.0,-35391.4973206956,-0.0,-0.0
Hunan,2025.01.22.00,0.0,33337.91897219408,0.0,0.0,-33331.8054395625,-0.0,-6.113532631578844
Hunan,2025.01.22.04,0.0,25567.052024008208,0.0,0.0,-25561.3205871661,-0.0,-5.731436842105196
Hunan,2025.01.22.08,362.34452380000005,27042.524427563796,0.0,0.0,-27404.8689513638,-0.0,-0.0
Hunan,2025.01.22.12,3916.4073200000007,30464.16054409469,0.0,0.0,-34262.8823609368,-0.0,-117.68550315789477
Hunan,2025.01.22.16,1180.9808990000004,33000.08074972242,0.0,0.0,-33535.3197645119,-0.0,-645.7418842105263
Hunan,2025.01.22.20,0.0,34445.6582549763,0.0,0.0,-34445.6582549763,-0.0,-0.0
Hunan,2025.02.08.00,0.0,31453.39685841533,0.0,0.0,-31076.2683142048,-0.0,-377.12854421052606
Hunan,2025.02.08.04,0.0,23831.6060758396,0.0,0.0,-23831.6060758396,-0.0,-0.0
Hunan,2025.02.08.08,521.5282709,25028.874697592197,0.0,0.0,-25550.4029684922,-0.0,-0.0
Hunan,2025.02.08.12,2463.3412300000005,29480.9987607378,0.0,0.0,-31944.3399907378,-0.0,-0.0
Hunan,2025.02.08.16,1120.7240800000004,30229.347978125705,0.0,0.0,-31266.0109844415,-0.0,-84.06107368421065
Hunan,2025.02.08.20,0.0,32424.24517288868,0.0,0.0,-32114.747583415,-0.0,-309.4975894736842
Hunan,2025.03.21.00,0.0,28326.646349101648,0.0,0.0,-28263.8106965227,-0.0,-62.83565257894727
Hunan,2025.03.21.04,0.0,21769.180950771697,0.0,0.0,-21674.8032907717,-0.0,-94.37766
Hunan,2025.03.21.08,1060.5326270000003,22179.8728186029,0.0,0.0,-23238.0460041029,-0.0,-2.3594415
Hunan,2025.03.21.12,2253.3970550000004,27142.0423031175,0.0,0.0,-29053.3203406175,-0.0,-342.11901750000004
Hunan,2025.03.21.16,740.6867930000002,27695.694524242,0.0,0.0,-28436.381317242,-0.0,-0.0
Hunan,2025.03.21.20,0.0,29394.00429640921,0.0,0.0,-29208.305742725,-0.0,-185.69855368421054
Hunan,2025.04.11.00,0.0,27670.39983692591,0.0,0.0,-26788.8957935521,-0.0,-881.5040433738104
Hunan,2025.04.11.04,0.0,20638.105925688502,0.0,0.0,-20543.7282656885,-0.0,-94.37766
Hunan,2025.04.11.08,416.6999690000001,21611.054403632603,0.0,0.0,-22025.3949311326,-0.0,-2.3594415
Hunan,2025.04.11.12,1055.2375400000003,26481.968232371102,0.0,0.0,-27537.2057723711,-0.0,-0.0
Hunan,2025.04.11.16,604.8982380000002,26347.562774167403,0.0,0.0,-26952.4610121674,-0.0,-0.0
