ELECRRIC_VEHICLE_TIMEPOINTS_1,ELECRRIC_VEHICLE_TIMEPOINTS_2,ChargingPower
Anhui-Ev,2025.05.22.12,386.70680749999997
Anhui-Ev,2025.05.22.16,0.0
Anhui-Ev,2025.05.22.20,0.0
Anhui-Ev,2025.06.16.00,483.9152784736846
Anhui-Ev,2025.06.16.04,106.67773999999999
Anhui-Ev,2025.06.16.08,2.6669435000000004
Anhui-Ev,2025.06.16.12,386.70680749999997
Anhui-Ev,2025.06.16.16,0.0
Anhui-Ev,2025.06.16.20,0.0
Anhui-Ev,2025.07.22.00,0.0
Anhui-Ev,2025.07.22.04,0.0
Anhui-Ev,2025.07.22.08,0.0
Anhui-Ev,2025.07.22.12,184.45919472062087
Anhui-Ev,2025.07.22.16,1139.741989489903
Anhui-Ev,2025.07.22.20,0.0
Anhui-Ev,2025.08.19.00,865.0074680789476
Anhui-Ev,2025.08.19.04,0.0
Anhui-Ev,2025.08.19.08,2.6669435000000004
Anhui-Ev,2025.08.19.12,0.0
Anhui-Ev,2025.08.19.16,0.0
Anhui-Ev,2025.08.19.20,0.0
Anhui-Ev,2025.09.20.00,364.280727947369
Anhui-Ev,2025.09.20.04,106.67773999999999
Anhui-Ev,2025.09.20.08,2.6669435000000004
Anhui-Ev,2025.09.20.12,386.70680749999997
Anhui-Ev,2025.09.20.16,0.0
Anhui-Ev,2025.09.20.20,0.0
Anhui-Ev,2025.10.26.00,79.68311110526332
Anhui-Ev,2025.10.26.04,0.0
Anhui-Ev,2025.10.26.08,2.6669435000000004
Anhui-Ev,2025.10.26.12,386.70680749999997
Anhui-Ev,2025.10.26.16,0.0
Anhui-Ev,2025.10.26.20,0.0
Anhui-Ev,2025.11.19.00,0.0
Anhui-Ev,2025.11.19.04,0.0
Anhui-Ev,2025.11.19.08,0.0
Anhui-Ev,2025.11.19.12,121.36212526315782
Anhui-Ev,2025.11.19.16,0.0
Anhui-Ev,2025.11.19.20,0.0
Anhui-Ev,2025.12.16.00,69.74955636842112
Anhui-Ev,2025.12.16.04,106.67773999999999
Anhui-Ev,2025.12.16.08,2.6669435000000004
Anhui-Ev,2025.12.16.12,386.70680749999997
Anhui-Ev,2025.12.16.16,0.0
Anhui-Ev,2025.12.16.20,0.0
Fujian-Ev,2025.01.22.00,620.8978523023438
Fujian-Ev,2025.01.22.04,76.47927330291986
Fujian-Ev,2025.01.22.08,2.3533965
Fujian-Ev,2025.01.22.12,0.0
Fujian-Ev,2025.01.22.16,0.0
Fujian-Ev,2025.01.22.20,0.0
Fujian-Ev,2025.02.08.00,521.6822613947365
Fujian-Ev,2025.02.08.04,0.0
Fujian-Ev,2025.02.08.08,2.3533965
Fujian-Ev,2025.02.08.12,293.4599684210526
Fujian-Ev,2025.02.08.16,167.69141052631574
Fujian-Ev,2025.02.08.20,0.0
Fujian-Ev,2025.03.21.00,0.0
Fujian-Ev,2025.03.21.04,94.13586
Fujian-Ev,2025.03.21.08,2.3533965
Fujian-Ev,2025.03.21.12,0.0
Fujian-Ev,2025.03.21.16,369.99775823684195
Fujian-Ev,2025.03.21.20,0.0
Fujian-Ev,2025.04.11.00,569.007445263158
Fujian-Ev,2025.04.11.04,0.0
Fujian-Ev,2025.04.11.08,0.0
Fujian-Ev,2025.04.11.12,0.0
Fujian-Ev,2025.04.11.16,0.0
Fujian-Ev,2025.04.11.20,0.0
Fujian-Ev,2025.05.22.00,561.318412973684
Fujian-Ev,2025.05.22.04,0.0
Fujian-Ev,2025.05.22.08,2.3533965
Fujian-Ev,2025.05.22.12,0.0
Fujian-Ev,2025.05.22.16,114.71616947368435
Fujian-Ev,2025.05.22.20,0.0
Fujian-Ev,2025.06.16.00,71.9643877105263
Fujian-Ev,2025.06.16.04,0.0
Fujian-Ev,2025.06.16.08,2.3533965
Fujian-Ev,2025.06.16.12,0.0
Fujian-Ev,2025.06.16.16,209.61426315789473
Fujian-Ev,2025.06.16.20,185.22278526315785
Fujian-Ev,2025.07.22.00,713.4195024473681
Fujian-Ev,2025.07.22.04,94.13586
Fujian-Ev,2025.07.22.08,2.3533965
Fujian-Ev,2025.07.22.12,0.0
Fujian-Ev,2025.07.22.16,0.0
Fujian-Ev,2025.07.22.20,0.0
Fujian-Ev,2025.08.19.00,0.0
Fujian-Ev,2025.08.19.04,94.13586
Fujian-Ev,2025.08.19.08,2.3533965
Fujian-Ev,2025.08.19.12,0.0
Fujian-Ev,2025.08.19.16,125.76855789473674
Fujian-Ev,2025.08.19.20,615.0558877105265
Fujian-Ev,2025.09.20.00,784.719577894737
Fujian-Ev,2025.09.20.04,0.0
Fujian-Ev,2025.09.20.08,0.0
Fujian-Ev,2025.09.20.12,0.0
Fujian-Ev,2025.09.20.16,686.0103157894738
Fujian-Ev,2025.09.20.20,0.0
Fujian-Ev,2025.10.26.00,0.0
Fujian-Ev,2025.10.26.04,0.0
Fujian-Ev,2025.10.26.08,2.3533965
Fujian-Ev,2025.10.26.12,341.2424924999999
Fujian-Ev,2025.10.26.16,0.0
Fujian-Ev,2025.10.26.20,688.8496362631579
Fujian-Ev,2025.11.19.00,684.4191529736843
Fujian-Ev,2025.11.19.04,94.13586
Fujian-Ev,2025.11.19.08,2.3533965
Fujian-Ev,2025.11.19.12,0.0
Fujian-Ev,2025.11.19.16,0.0
Fujian-Ev,2025.11.19.20,0.0
