TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Henan,Xinjiang,2025.08.19.00,0.0
Henan,Xinjiang,2025.08.19.04,0.0
Henan,Xinjiang,2025.08.19.08,0.0
Henan,Xinjiang,2025.08.19.12,0.0
Henan,Xinjiang,2025.08.19.16,0.0
Henan,Xinjiang,2025.08.19.20,0.0
Henan,Xinjiang,2025.09.20.00,0.0
Henan,Xinjiang,2025.09.20.04,0.0
Henan,Xinjiang,2025.09.20.08,0.0
Henan,Xinjiang,2025.09.20.12,0.0
Henan,Xinjiang,2025.09.20.16,0.0
Henan,Xinjiang,2025.09.20.20,0.0
Henan,Xinjiang,2025.10.26.00,0.0
Henan,Xinjiang,2025.10.26.04,0.0
Henan,Xinjiang,2025.10.26.08,0.0
Henan,Xinjiang,2025.10.26.12,0.0
Henan,Xinjiang,2025.10.26.16,0.0
Henan,Xinjiang,2025.10.26.20,0.0
Henan,Xinjiang,2025.11.19.00,0.0
Henan,Xinjiang,2025.11.19.04,0.0
Henan,Xinjiang,2025.11.19.08,0.0
Henan,Xinjiang,2025.11.19.12,0.0
Henan,Xinjiang,2025.11.19.16,0.0
Henan,Xinjiang,2025.11.19.20,0.0
Henan,Xinjiang,2025.12.16.00,0.0
Henan,Xinjiang,2025.12.16.04,0.0
Henan,Xinjiang,2025.12.16.08,0.0
Henan,Xinjiang,2025.12.16.12,0.0
Henan,Xinjiang,2025.12.16.16,0.0
Henan,Xinjiang,2025.12.16.20,0.0
Yunnan,Zhejiang,2025.01.22.00,0.0
Yunnan,Zhejiang,2025.01.22.04,0.0
Yunnan,Zhejiang,2025.01.22.08,0.0
Yunnan,Zhejiang,2025.01.22.12,15200.0
Yunnan,Zhejiang,2025.01.22.16,15200.0
Yunnan,Zhejiang,2025.01.22.20,0.0
Yunnan,Zhejiang,2025.02.08.00,938.6868085017977
Yunnan,Zhejiang,2025.02.08.04,0.0
Yunnan,Zhejiang,2025.02.08.08,10314.882533208287
Yunnan,Zhejiang,2025.02.08.12,15200.0
Yunnan,Zhejiang,2025.02.08.16,15200.0
Yunnan,Zhejiang,2025.02.08.20,8911.162388429457
Yunnan,Zhejiang,2025.03.21.00,0.0
Yunnan,Zhejiang,2025.03.21.04,1241.2113100777985
Yunnan,Zhejiang,2025.03.21.08,12815.494191676338
Yunnan,Zhejiang,2025.03.21.12,15200.0
Yunnan,Zhejiang,2025.03.21.16,6748.274513860448
Yunnan,Zhejiang,2025.03.21.20,0.0
Yunnan,Zhejiang,2025.04.11.00,8978.018000637396
Yunnan,Zhejiang,2025.04.11.04,4317.860567067332
Yunnan,Zhejiang,2025.04.11.08,12369.162072188334
Yunnan,Zhejiang,2025.04.11.12,15200.0
Yunnan,Zhejiang,2025.04.11.16,15200.0
Yunnan,Zhejiang,2025.04.11.20,15200.0
Yunnan,Zhejiang,2025.05.22.00,15200.0
Yunnan,Zhejiang,2025.05.22.04,15108.769208661926
Yunnan,Zhejiang,2025.05.22.08,15200.000000001
Yunnan,Zhejiang,2025.05.22.12,15200.0
Yunnan,Zhejiang,2025.05.22.16,15200.0
Yunnan,Zhejiang,2025.05.22.20,15200.0
Yunnan,Zhejiang,2025.06.16.00,15200.0
Yunnan,Zhejiang,2025.06.16.04,15200.0
Yunnan,Zhejiang,2025.06.16.08,15200.0
Yunnan,Zhejiang,2025.06.16.12,15200.0
Yunnan,Zhejiang,2025.06.16.16,15200.0
Yunnan,Zhejiang,2025.06.16.20,15200.0
Yunnan,Zhejiang,2025.07.22.00,15200.0
Yunnan,Zhejiang,2025.07.22.04,15200.0
Yunnan,Zhejiang,2025.07.22.08,15200.0
Yunnan,Zhejiang,2025.07.22.12,15200.0
Yunnan,Zhejiang,2025.07.22.16,15200.0
Yunnan,Zhejiang,2025.07.22.20,15200.0
Yunnan,Zhejiang,2025.08.19.00,15200.0
Yunnan,Zhejiang,2025.08.19.04,15200.0
Yunnan,Zhejiang,2025.08.19.08,15200.0
