BALANCING_AREA,timepoints,NREL35VarGenSpinningReserveRequirement,CommittedSpinningReserveUp
Tibet,2025.11.19.08,97.3029,97.3029
Tibet,2025.11.19.12,228.221,228.221
Tibet,2025.11.19.16,202.635,202.635
Tibet,2025.11.19.20,81.5136,81.5136
Tibet,2025.12.16.00,134.738,134.738
Tibet,2025.12.16.04,0,0
Tibet,2025.12.16.08,134.814,134.814
Tibet,2025.12.16.12,137.145,137.145
Tibet,2025.12.16.16,138.67,138.67
Tibet,2025.12.16.20,134.738,134.738
