ELECRRIC_VEHICLE,timepoint_id,ev_max_power_mw,ev_driving_power
Sichuan-Ev,2025.07.22.08,3.5422205,629.425335
Sichuan-Ev,2025.07.22.12,513.6219725,293.73182299999996
Sichuan-Ev,2025.07.22.16,3506.7982950000005,539.5074299999999
Sichuan-Ev,2025.07.22.20,2614.1587289999998,176.566068
Sichuan-Ev,2025.08.19.00,1934.052393,6.539484000000001
Sichuan-Ev,2025.08.19.04,141.68882000000002,14.713839
Sichuan-Ev,2025.08.19.08,3.5422205,359.67162
Sichuan-Ev,2025.08.19.12,513.6219725,41.961689
Sichuan-Ev,2025.08.19.16,3506.7982950000005,0.0
Sichuan-Ev,2025.08.19.20,2614.1587289999998,88.283034
Sichuan-Ev,2025.09.20.00,1934.052393,4.359656
Sichuan-Ev,2025.09.20.04,141.68882000000002,11.444097000000001
Sichuan-Ev,2025.09.20.08,3.5422205,539.5074299999999
Sichuan-Ev,2025.09.20.12,513.6219725,0.0
Sichuan-Ev,2025.09.20.16,3506.7982950000005,239.78107999999997
Sichuan-Ev,2025.09.20.20,2614.1587289999998,88.283034
Sichuan-Ev,2025.10.26.00,1934.052393,2.179828
Sichuan-Ev,2025.10.26.04,141.68882000000002,1.6348710000000002
Sichuan-Ev,2025.10.26.08,3.5422205,899.1790500000001
Sichuan-Ev,2025.10.26.12,513.6219725,251.77013399999998
Sichuan-Ev,2025.10.26.16,3506.7982950000005,179.83581
Sichuan-Ev,2025.10.26.20,2614.1587289999998,353.132136
Sichuan-Ev,2025.11.19.00,1934.052393,13.078968000000001
Sichuan-Ev,2025.11.19.04,141.68882000000002,4.904613
Sichuan-Ev,2025.11.19.08,3.5422205,359.67162
Sichuan-Ev,2025.11.19.12,513.6219725,335.693512
Sichuan-Ev,2025.11.19.16,3506.7982950000005,359.67162
Sichuan-Ev,2025.11.19.20,2614.1587289999998,441.41517
Sichuan-Ev,2025.12.16.00,1934.052393,13.078968000000001
Sichuan-Ev,2025.12.16.04,141.68882000000002,6.539484000000001
Sichuan-Ev,2025.12.16.08,3.5422205,899.1790500000001
Sichuan-Ev,2025.12.16.12,513.6219725,167.846756
Sichuan-Ev,2025.12.16.16,3506.7982950000005,479.56215999999995
Sichuan-Ev,2025.12.16.20,2614.1587289999998,0.0
Anhui-Ev,2025.01.22.00,1456.151151,11.488372000000002
Anhui-Ev,2025.01.22.04,106.67773999999999,0.0
Anhui-Ev,2025.01.22.08,2.6669435000000004,609.2940150000001
Anhui-Ev,2025.01.22.12,386.70680749999997,221.15116100000003
Anhui-Ev,2025.01.22.16,2640.274065,270.79733999999996
Anhui-Ev,2025.01.22.20,1968.204303,199.405314
Anhui-Ev,2025.02.08.00,1456.151151,4.9235880000000005
Anhui-Ev,2025.02.08.04,106.67773999999999,12.308969999999999
Anhui-Ev,2025.02.08.08,2.6669435000000004,338.49667500000004
Anhui-Ev,2025.02.08.12,386.70680749999997,315.93023
Anhui-Ev,2025.02.08.16,2640.274065,0.0
Anhui-Ev,2025.02.08.20,1968.204303,166.17109500000004
