GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Beijing-Central_PV-2022,2025.04.11.20,0.0
Beijing-Central_PV-2022,2025.05.22.00,0.0
Beijing-Central_PV-2022,2025.05.22.04,0.0
Beijing-Central_PV-2022,2025.05.22.08,0.671351
Beijing-Central_PV-2022,2025.05.22.12,0.638183875
Beijing-Central_PV-2022,2025.05.22.16,0.625842875
Beijing-Central_PV-2022,2025.05.22.20,0.0
Beijing-Central_PV-2022,2025.06.16.00,0.0
Beijing-Central_PV-2022,2025.06.16.04,0.0
Beijing-Central_PV-2022,2025.06.16.08,0.5212718749999999
Beijing-Central_PV-2022,2025.06.16.12,0.627312125
Beijing-Central_PV-2022,2025.06.16.16,0.479386125
Beijing-Central_PV-2022,2025.06.16.20,0.0
Beijing-Central_PV-2022,2025.07.22.00,0.0
Beijing-Central_PV-2022,2025.07.22.04,0.0
Beijing-Central_PV-2022,2025.07.22.08,0.0655777
Beijing-Central_PV-2022,2025.07.22.12,0.145595875
Beijing-Central_PV-2022,2025.07.22.16,0.0583129
Beijing-Central_PV-2022,2025.07.22.20,0.0
Beijing-Central_PV-2022,2025.08.19.00,0.0
Beijing-Central_PV-2022,2025.08.19.04,0.0
Beijing-Central_PV-2022,2025.08.19.08,0.618801
Beijing-Central_PV-2022,2025.08.19.12,0.725098125
Beijing-Central_PV-2022,2025.08.19.16,0.578433875
Beijing-Central_PV-2022,2025.08.19.20,0.0
Beijing-Central_PV-2022,2025.09.20.00,0.0
Beijing-Central_PV-2022,2025.09.20.04,0.0
Beijing-Central_PV-2022,2025.09.20.08,0.108708925
Beijing-Central_PV-2022,2025.09.20.12,0.14893187500000002
Beijing-Central_PV-2022,2025.09.20.16,0.0385149125
Beijing-Central_PV-2022,2025.09.20.20,0.0
Beijing-Central_PV-2022,2025.10.26.00,0.0
Beijing-Central_PV-2022,2025.10.26.04,0.0
Beijing-Central_PV-2022,2025.10.26.08,0.15078797500000002
Beijing-Central_PV-2022,2025.10.26.12,0.377177875
Beijing-Central_PV-2022,2025.10.26.16,0.0978753875
Beijing-Central_PV-2022,2025.10.26.20,0.0
Beijing-Central_PV-2022,2025.11.19.00,0.0
Beijing-Central_PV-2022,2025.11.19.04,0.0
Beijing-Central_PV-2022,2025.11.19.08,0.0333088125
Beijing-Central_PV-2022,2025.11.19.12,0.20244012500000003
Beijing-Central_PV-2022,2025.11.19.16,0.0326315125
Beijing-Central_PV-2022,2025.11.19.20,0.0
Beijing-Central_PV-2022,2025.12.16.00,0.0
Beijing-Central_PV-2022,2025.12.16.04,0.0
Beijing-Central_PV-2022,2025.12.16.08,0.320252
Beijing-Central_PV-2022,2025.12.16.12,0.413209875
Beijing-Central_PV-2022,2025.12.16.16,0.057008012500000003
Beijing-Central_PV-2022,2025.12.16.20,0.0
Beijing-PV-2022,2025.01.22.00,0.0
Beijing-PV-2022,2025.01.22.04,0.0
Beijing-PV-2022,2025.01.22.08,0.15495728333333333
Beijing-PV-2022,2025.01.22.12,0.6806341666666667
Beijing-PV-2022,2025.01.22.16,0.12444098333333335
Beijing-PV-2022,2025.01.22.20,0.0
Beijing-PV-2022,2025.02.08.00,0.0
Beijing-PV-2022,2025.02.08.04,0.0
Beijing-PV-2022,2025.02.08.08,0.05868001666666667
Beijing-PV-2022,2025.02.08.12,0.302854
Beijing-PV-2022,2025.02.08.16,0.06997751666666667
Beijing-PV-2022,2025.02.08.20,0.0
Beijing-PV-2022,2025.03.21.00,0.0
Beijing-PV-2022,2025.03.21.04,0.0
Beijing-PV-2022,2025.03.21.08,0.1468142
Beijing-PV-2022,2025.03.21.12,0.4935686666666667
Beijing-PV-2022,2025.03.21.16,0.17944849999999998
Beijing-PV-2022,2025.03.21.20,0.0
Beijing-PV-2022,2025.04.11.00,0.0
Beijing-PV-2022,2025.04.11.04,0.0
Beijing-PV-2022,2025.04.11.08,0.3829015
Beijing-PV-2022,2025.04.11.12,0.7181051666666667
Beijing-PV-2022,2025.04.11.16,0.09740335
Beijing-PV-2022,2025.04.11.20,0.0
Beijing-PV-2022,2025.05.22.00,0.0
Beijing-PV-2022,2025.05.22.04,0.0
Beijing-PV-2022,2025.05.22.08,0.41154
Beijing-PV-2022,2025.05.22.12,0.6191076666666667
Beijing-PV-2022,2025.05.22.16,0.305029
Beijing-PV-2022,2025.05.22.20,0.0
Beijing-PV-2022,2025.06.16.00,0.0
Beijing-PV-2022,2025.06.16.04,0.0
Beijing-PV-2022,2025.06.16.08,0.3356238333333333
Beijing-PV-2022,2025.06.16.12,0.597112
Beijing-PV-2022,2025.06.16.16,0.26304716666666667
Beijing-PV-2022,2025.06.16.20,0.0
Beijing-PV-2022,2025.07.22.00,0.0
Beijing-PV-2022,2025.07.22.04,0.0
Beijing-PV-2022,2025.07.22.08,0.06135951666666667
Beijing-PV-2022,2025.07.22.12,0.12211916666666667
Beijing-PV-2022,2025.07.22.16,0.054130050000000006
Beijing-PV-2022,2025.07.22.20,0.0
Beijing-PV-2022,2025.08.19.00,0.0
Beijing-PV-2022,2025.08.19.04,0.0
Beijing-PV-2022,2025.08.19.08,0.38248716666666666
Beijing-PV-2022,2025.08.19.12,0.7696503333333333
Beijing-PV-2022,2025.08.19.16,0.3097991666666667
Beijing-PV-2022,2025.08.19.20,0.0
Beijing-PV-2022,2025.09.20.00,0.0
Beijing-PV-2022,2025.09.20.04,0.0
Beijing-PV-2022,2025.09.20.08,0.09932401666666667
Beijing-PV-2022,2025.09.20.12,0.12765716666666668
Beijing-PV-2022,2025.09.20.16,0.03479305
Beijing-PV-2022,2025.09.20.20,0.0
Beijing-PV-2022,2025.10.26.00,0.0
Beijing-PV-2022,2025.10.26.04,0.0
Beijing-PV-2022,2025.10.26.08,0.1319179
Beijing-PV-2022,2025.10.26.12,0.47609133333333337
Beijing-PV-2022,2025.10.26.16,0.05834813333333333
Beijing-PV-2022,2025.10.26.20,0.0
Beijing-PV-2022,2025.11.19.00,0.0
Beijing-PV-2022,2025.11.19.04,0.0
Beijing-PV-2022,2025.11.19.08,0.029006466666666664
Beijing-PV-2022,2025.11.19.12,0.2485075
Beijing-PV-2022,2025.11.19.16,0.018043743333333334
Beijing-PV-2022,2025.11.19.20,0.0
Beijing-PV-2022,2025.12.16.00,0.0
Beijing-PV-2022,2025.12.16.04,0.0
Beijing-PV-2022,2025.12.16.08,0.2611525
Beijing-PV-2022,2025.12.16.12,0.7649886666666667
Beijing-PV-2022,2025.12.16.16,0.03530788333333334
Beijing-PV-2022,2025.12.16.20,0.0
Beijing-Wind-2022,2025.01.22.00,0.229154
Beijing-Wind-2022,2025.01.22.04,0.25556
Beijing-Wind-2022,2025.01.22.08,0.216944
Beijing-Wind-2022,2025.01.22.12,0.173432
Beijing-Wind-2022,2025.01.22.16,0.231168
Beijing-Wind-2022,2025.01.22.20,0.293198
Beijing-Wind-2022,2025.02.08.00,0.149019
Beijing-Wind-2022,2025.02.08.04,0.17336
Beijing-Wind-2022,2025.02.08.08,0.176235
Beijing-Wind-2022,2025.02.08.12,0.0753453
Beijing-Wind-2022,2025.02.08.16,0.105031
Beijing-Wind-2022,2025.02.08.20,0.201437
Beijing-Wind-2022,2025.03.21.00,0.33449899999999994
Beijing-Wind-2022,2025.03.21.04,0.265144
Beijing-Wind-2022,2025.03.21.08,0.163444
Beijing-Wind-2022,2025.03.21.12,0.184048
Beijing-Wind-2022,2025.03.21.16,0.248024
Beijing-Wind-2022,2025.03.21.20,0.191972
Beijing-Wind-2022,2025.04.11.00,0.111097
Beijing-Wind-2022,2025.04.11.04,0.134929
Beijing-Wind-2022,2025.04.11.08,0.103103
Beijing-Wind-2022,2025.04.11.12,0.125661
Beijing-Wind-2022,2025.04.11.16,0.240185
Beijing-Wind-2022,2025.04.11.20,0.254505
Beijing-Wind-2022,2025.05.22.00,0.12174800000000001
Beijing-Wind-2022,2025.05.22.04,0.10210800000000002
Beijing-Wind-2022,2025.05.22.08,0.0956974
Beijing-Wind-2022,2025.05.22.12,0.201075
Beijing-Wind-2022,2025.05.22.16,0.26847
Beijing-Wind-2022,2025.05.22.20,0.192704
Beijing-Wind-2022,2025.06.16.00,0.04253500000000001
Beijing-Wind-2022,2025.06.16.04,0.0597676
Beijing-Wind-2022,2025.06.16.08,0.029453999999999998
Beijing-Wind-2022,2025.06.16.12,0.0527782
Beijing-Wind-2022,2025.06.16.16,0.0894097
Beijing-Wind-2022,2025.06.16.20,0.0623948
Beijing-Wind-2022,2025.07.22.00,0.0571283
Beijing-Wind-2022,2025.07.22.04,0.0505658
Beijing-Wind-2022,2025.07.22.08,0.0190168
Beijing-Wind-2022,2025.07.22.12,0.0347958
Beijing-Wind-2022,2025.07.22.16,0.0369839
