load_zone,TIMEPOINT,zone_demand_mw
Chongqing,2025.03.21.20,30818.2534982964
East_Inner_Mongolia,2025.03.21.20,24176.6233978922
Fujian,2025.03.21.20,60171.029525387
Gansu,2025.03.21.20,37946.9027003564
Guangdong,2025.03.21.20,161771.232416022
Guangxi,2025.03.21.20,50161.0757043652
Guizhou,2025.03.21.20,49510.036904297
Hainan,2025.03.21.20,9339.89913839656
Hebei,2025.03.21.20,114920.2656179792
Heilongjiang,2025.03.21.20,35697.3176108524
Henan,2025.03.21.20,111718.2530906622
Hubei,2025.03.21.20,61081.7733788236
Hunan,2025.03.21.20,58416.61148545
Jiangsu,2025.03.21.20,173562.1898232414
Jiangxi,2025.03.21.20,31688.8993441552
Jilin,2025.03.21.20,29231.1660583932
Liaoning,2025.03.21.20,85748.7620265978
Ningxia,2025.03.21.20,28881.9058263574
Qinghai,2025.03.21.20,17700.33872859556
Shaanxi,2025.03.21.20,45418.4074397894
Shandong,2025.03.21.20,144168.856614753
Shanghai,2025.03.21.20,53884.5229861196
Shanxi,2025.03.21.20,80103.227368198
Sichuan,2025.03.21.20,67280.1908243192
Tianjin,2025.03.21.20,30324.4654223472
Tibet,2025.03.21.20,1280.627354904136
West_Inner_Mongolia,2025.03.21.20,62378.0447896232
Xinjiang,2025.03.21.20,41407.8165033668
Yunnan,2025.03.21.20,47085.823683437
Zhejiang,2025.03.21.20,125548.4694026646
Anhui,2025.04.11.00,43650.9347990318
Beijing,2025.04.11.00,17325.72437231592
Chongqing,2025.04.11.00,31082.9621833344
East_Inner_Mongolia,2025.04.11.00,20326.8518762896
Fujian,2025.04.11.00,57852.4791775958
Gansu,2025.04.11.00,35200.1748574558
Guangdong,2025.04.11.00,153637.013404053
Guangxi,2025.04.11.00,41710.9648236674
Guizhou,2025.04.11.00,33415.4687767336
Hainan,2025.04.11.00,10135.29424360852
Hebei,2025.04.11.00,136099.8016908508
Heilongjiang,2025.04.11.00,26969.7532152346
Henan,2025.04.11.00,99419.8044954872
Hubei,2025.04.11.00,57148.0575953148
Hunan,2025.04.11.00,53577.7915871042
Jiangsu,2025.04.11.00,144442.7834760316
Jiangxi,2025.04.11.00,27541.9758689428
Jilin,2025.04.11.00,21785.799271936
Liaoning,2025.04.11.00,76231.8988293768
Ningxia,2025.04.11.00,26568.0047439862
Qinghai,2025.04.11.00,19713.2670546481
Shaanxi,2025.04.11.00,38127.3566958756
Shandong,2025.04.11.00,146109.3590792322
Shanghai,2025.04.11.00,39740.7440321452
Shanxi,2025.04.11.00,70495.009927491
Sichuan,2025.04.11.00,62987.211745058
Tianjin,2025.04.11.00,22514.9680973882
Tibet,2025.04.11.00,1143.407070696144
