,timeseries,hydro_min_flow_mw,hydro_avg_flow_mw
Qinghai-Hydro_Nonpumped-2022,2025.08.19,5938.434506981558,11876.869013963134
Qinghai-Hydro_Nonpumped-2022,2025.09.20,5977.14,11954.28
Qinghai-Hydro_Nonpumped-2022,2025.10.26,5168.794519361203,10337.589038722406
Qinghai-Hydro_Nonpumped-2022,2025.11.19,3108.4310039365764,6216.862007873134
Qinghai-Hydro_Nonpumped-2022,2025.12.16,1942.7232619022786,3885.4465238045573
Shaanxi-Hydro_Nonpumped-2022,2025.01.22,449.39320483051586,898.7864096610317
Shaanxi-Hydro_Nonpumped-2022,2025.02.08,568.3252413834902,1136.6504827669803
Shaanxi-Hydro_Nonpumped-2022,2025.03.21,805.3398078333828,1610.6796156667704
Shaanxi-Hydro_Nonpumped-2022,2025.04.11,807.8883513059155,1615.7767026118331
Shaanxi-Hydro_Nonpumped-2022,2025.05.22,611.6504921687272,1223.3009843374587
Shaanxi-Hydro_Nonpumped-2022,2025.06.16,559.8300925576533,1119.6601851153066
Shaanxi-Hydro_Nonpumped-2022,2025.07.22,1180.8252402082685,2361.650480416537
Shaanxi-Hydro_Nonpumped-2022,2025.08.19,1659.0,3318.0
Shaanxi-Hydro_Nonpumped-2022,2025.09.20,1659.0,3318.0
Shaanxi-Hydro_Nonpumped-2022,2025.10.26,1427.1844738922405,2854.368947784481
Shaanxi-Hydro_Nonpumped-2022,2025.11.19,1427.1844738922405,2854.368947784481
Shaanxi-Hydro_Nonpumped-2022,2025.12.16,499.5145676251119,999.0291352502238
Shandong-Hydro_Nonpumped-2022,2025.01.22,255.2534840071948,510.5069680143883
Shandong-Hydro_Nonpumped-2022,2025.02.08,258.7350758617785,517.4701517235558
Shandong-Hydro_Nonpumped-2022,2025.03.21,476.3240582496293,952.6481164992573
Shandong-Hydro_Nonpumped-2022,2025.04.11,485.22849841052346,970.4569968210469
Shandong-Hydro_Nonpumped-2022,2025.05.22,445.5805392700624,891.1610785401248
Shandong-Hydro_Nonpumped-2022,2025.06.16,450.5391758130799,901.0783516261612
Shandong-Hydro_Nonpumped-2022,2025.07.22,832.691427932059,1665.382855864123
Shandong-Hydro_Nonpumped-2022,2025.08.19,1080.72,2161.44
Shandong-Hydro_Nonpumped-2022,2025.09.20,1080.72,2161.44
Shandong-Hydro_Nonpumped-2022,2025.10.26,916.9459682364484,1833.8919364728943
Shandong-Hydro_Nonpumped-2022,2025.11.19,555.1346533428998,1110.2693066857996
Shandong-Hydro_Nonpumped-2022,2025.12.16,342.98961616616816,685.979232332335
Shanxi-Hydro_Nonpumped-2022,2025.01.22,250.95436013261192,501.9087202652259
Shanxi-Hydro_Nonpumped-2022,2025.02.08,253.27800547149076,506.5560109429815
Shanxi-Hydro_Nonpumped-2022,2025.03.21,468.2157665320733,936.4315330641466
Shanxi-Hydro_Nonpumped-2022,2025.04.11,477.51037642667376,955.0207528533475
Shanxi-Hydro_Nonpumped-2022,2025.05.22,438.00829864416767,876.0165972883374
Shanxi-Hydro_Nonpumped-2022,2025.06.16,442.6556035914678,885.3112071829356
Shanxi-Hydro_Nonpumped-2022,2025.07.22,817.9253139861771,1635.850627972352
Shanxi-Hydro_Nonpumped-2022,2025.08.19,1061.76,2123.52
Shanxi-Hydro_Nonpumped-2022,2025.09.20,1061.76,2123.52
Shanxi-Hydro_Nonpumped-2022,2025.10.26,901.5767602289428,1803.1535204578856
Shanxi-Hydro_Nonpumped-2022,2025.11.19,544.896262488662,1089.792524977324
Shanxi-Hydro_Nonpumped-2022,2025.12.16,338.0912850858543,676.1825701717065
Sichuan-Hydro_Nonpumped-2022,2025.01.22,6903.428326436352,13806.856652872704
Sichuan-Hydro_Nonpumped-2022,2025.02.08,6151.221282971541,12302.442565943082
Sichuan-Hydro_Nonpumped-2022,2025.03.21,6481.073440306305,12962.14688061261
Sichuan-Hydro_Nonpumped-2022,2025.04.11,8990.385544182684,17980.771088365367
Sichuan-Hydro_Nonpumped-2022,2025.05.22,15045.49404048085,30090.9880809617
Sichuan-Hydro_Nonpumped-2022,2025.06.16,27643.946406159506,55287.8928123188
Sichuan-Hydro_Nonpumped-2022,2025.07.22,46210.26,92420.52
Sichuan-Hydro_Nonpumped-2022,2025.08.19,46210.26,92420.52
Sichuan-Hydro_Nonpumped-2022,2025.09.20,44218.6722802692,88437.34456053852
Sichuan-Hydro_Nonpumped-2022,2025.10.26,30041.352320665508,60082.704641330914
Sichuan-Hydro_Nonpumped-2022,2025.11.19,15752.126438589108,31504.252877178216
Sichuan-Hydro_Nonpumped-2022,2025.12.16,9384.763949694554,18769.52789938916
Tianjin-Hydro_Nonpumped-2022,2025.01.22,0.6343283607579641,1.2686567215159281
Tianjin-Hydro_Nonpumped-2022,2025.02.08,0.559701489545,1.11940297909
Tianjin-Hydro_Nonpumped-2022,2025.03.21,0.48507463318278,0.97014926636556
Tianjin-Hydro_Nonpumped-2022,2025.04.11,0.447761197576296,0.895522395152596
Tianjin-Hydro_Nonpumped-2022,2025.05.22,0.410447761969816,0.820895523939632
Tianjin-Hydro_Nonpumped-2022,2025.06.16,0.6716417963644481,1.343283592728892
Tianjin-Hydro_Nonpumped-2022,2025.07.22,1.9776119386361122,3.95522387727222
Tianjin-Hydro_Nonpumped-2022,2025.08.19,4.74,9.48
Tianjin-Hydro_Nonpumped-2022,2025.09.20,1.9776119386361122,3.95522387727222
Tianjin-Hydro_Nonpumped-2022,2025.10.26,1.1567164146964801,2.3134328293929602
Tianjin-Hydro_Nonpumped-2022,2025.11.19,0.858208959546112,1.716417919092224
Tianjin-Hydro_Nonpumped-2022,2025.12.16,0.6716417963644481,1.343283592728892
Tibet-Hydro_Nonpumped-2022,2025.01.22,384.52129993872853,769.0425998774589
Tibet-Hydro_Nonpumped-2022,2025.02.08,358.9973456665426,717.9946913330843
Tibet-Hydro_Nonpumped-2022,2025.03.21,379.4002961834423,758.8005923668846
Tibet-Hydro_Nonpumped-2022,2025.04.11,567.958683641058,1135.9173672821207
