ZONE_TIMEPOINTS_1,ZONE_TIMEPOINTS_2,WithdrawFromCentralGrid
Sichuan,2025.12.16.04,30329.085383861984
Sichuan,2025.12.16.08,31284.989176652693
Sichuan,2025.12.16.12,44433.94008637825
Sichuan,2025.12.16.16,45390.8939265959
Sichuan,2025.12.16.20,41473.32419130211
Anhui,2025.01.22.00,28179.877213951113
Anhui,2025.01.22.04,24279.56364685417
Anhui,2025.01.22.08,25107.9900609944
Anhui,2025.01.22.12,28696.023069634317
Anhui,2025.01.22.16,30089.79802957764
Anhui,2025.01.22.20,32979.98803394694
Anhui,2025.02.08.00,25416.6999113108
Anhui,2025.02.08.04,21669.798550887328
Anhui,2025.02.08.08,22319.777904808972
Anhui,2025.02.08.12,25922.267639151847
Anhui,2025.02.08.16,26387.198160028303
Anhui,2025.02.08.20,28884.59177343682
Anhui,2025.03.21.00,24348.529738404708
Anhui,2025.03.21.04,20499.905105314992
Anhui,2025.03.21.08,20594.795296542132
Anhui,2025.03.21.12,22769.866539841136
Anhui,2025.03.21.16,25612.815909130368
Anhui,2025.03.21.20,27150.29787978068
Anhui,2025.04.11.00,23207.86725305858
Anhui,2025.04.11.04,19764.949187631362
Anhui,2025.04.11.08,20159.240324392187
Anhui,2025.04.11.12,23699.0850795439
Anhui,2025.04.11.16,24343.14470305855
Anhui,2025.04.11.20,26321.552604434215
Anhui,2025.05.22.00,23534.611831088605
Anhui,2025.05.22.04,19929.115813810353
Anhui,2025.05.22.08,17757.296407694932
Anhui,2025.05.22.12,18617.53609956906
Anhui,2025.05.22.16,23072.493791383524
Anhui,2025.05.22.20,26540.162836597152
Anhui,2025.06.16.00,26078.16834014196
Anhui,2025.06.16.04,22363.01076526874
Anhui,2025.06.16.08,19078.901884815736
Anhui,2025.06.16.12,21128.00252886051
Anhui,2025.06.16.16,25934.584913770163
Anhui,2025.06.16.20,29705.331947658506
Anhui,2025.07.22.00,30583.838665944353
Anhui,2025.07.22.04,26341.198077686906
Anhui,2025.07.22.08,25101.98942324604
Anhui,2025.07.22.12,27529.202960668423
Anhui,2025.07.22.16,31052.191265386886
Anhui,2025.07.22.20,35394.434582506154
Anhui,2025.08.19.00,30844.565800284265
Anhui,2025.08.19.04,26455.7328874962
Anhui,2025.08.19.08,26629.06299419599
Anhui,2025.08.19.12,30056.938302401733
Anhui,2025.08.19.16,32993.14450466717
Anhui,2025.08.19.20,35081.84542809093
Anhui,2025.09.20.00,26250.193732151703
Anhui,2025.09.20.04,22007.95082584139
Anhui,2025.09.20.08,19682.0273969415
Anhui,2025.09.20.12,19655.37748635438
Anhui,2025.09.20.16,25851.42303826093
Anhui,2025.09.20.20,29232.488390883216
Anhui,2025.10.26.00,23856.720496894122
Anhui,2025.10.26.04,20387.257016613832
Anhui,2025.10.26.08,17534.481738780778
Anhui,2025.10.26.12,18080.10026896357
Anhui,2025.10.26.16,24765.202351513515
Anhui,2025.10.26.20,27150.29787978068
Anhui,2025.11.19.00,25107.18950427778
Anhui,2025.11.19.04,21421.890160909927
Anhui,2025.11.19.08,21933.531254819434
Anhui,2025.11.19.12,24246.438418740338
Anhui,2025.11.19.16,27063.663093039708
Anhui,2025.11.19.20,28528.14866377994
Anhui,2025.12.16.00,28046.32368415185
Anhui,2025.12.16.04,24165.02883704477
Anhui,2025.12.16.08,22519.146719843822
Anhui,2025.12.16.12,22903.709477614786
Anhui,2025.12.16.16,29778.28339952873
Anhui,2025.12.16.20,32107.718186000133
Fujian,2025.01.22.00,27866.275261376137
Fujian,2025.01.22.04,25379.529604976346
Fujian,2025.01.22.08,26166.257394466316
Fujian,2025.01.22.12,30606.08530359842
Fujian,2025.01.22.16,32230.979515596267
Fujian,2025.01.22.20,30915.27332304499
Fujian,2025.02.08.00,23292.14244424724
Fujian,2025.02.08.04,20820.32738239335
Fujian,2025.02.08.08,20999.35066841922
Fujian,2025.02.08.12,24892.04822008163
Fujian,2025.02.08.16,25794.485387385288
Fujian,2025.02.08.20,25339.78739983221
Fujian,2025.03.21.00,28647.330890349996
Fujian,2025.03.21.04,26049.634393937555
Fujian,2025.03.21.08,26411.60562976621
Fujian,2025.03.21.12,30867.033945264735
Fujian,2025.03.21.16,32317.417152882717
Fujian,2025.03.21.20,31769.286972221227
Fujian,2025.04.11.00,31110.90092222676
Fujian,2025.04.11.04,27710.368410585532
Fujian,2025.04.11.08,28263.951353322806
Fujian,2025.04.11.12,33282.76988543749
Fujian,2025.04.11.16,34615.31157635861
Fujian,2025.04.11.20,33919.83577082421
Fujian,2025.05.22.00,30051.165868394757
Fujian,2025.05.22.04,27195.229434297467
Fujian,2025.05.22.08,26898.160559292188
Fujian,2025.05.22.12,31757.350840263578
Fujian,2025.05.22.16,33395.25294088652
Fujian,2025.05.22.20,33135.7075887188
Fujian,2025.06.16.00,33107.059024156195
Fujian,2025.06.16.04,30019.56534783358
Fujian,2025.06.16.08,29917.57460086146
Fujian,2025.06.16.12,36136.29951341437
Fujian,2025.06.16.16,37409.92339087857
Fujian,2025.06.16.20,36906.76254691063
Fujian,2025.07.22.00,37241.20879890279
Fujian,2025.07.22.04,33201.003102106864
Fujian,2025.07.22.08,33956.051063629675
Fujian,2025.07.22.12,39921.578743817
Fujian,2025.07.22.16,41259.1576420037
Fujian,2025.07.22.20,40480.20244211806
Fujian,2025.08.19.00,37953.29541749408
Fujian,2025.08.19.04,34318.358957360295
Fujian,2025.08.19.08,35102.141473238225
Fujian,2025.08.19.12,41631.36066192337
Fujian,2025.08.19.16,43276.39484303743
Fujian,2025.08.19.20,41846.6413104867
Fujian,2025.09.20.00,36148.109155879
Fujian,2025.09.20.04,32184.439412857024
Fujian,2025.09.20.08,31754.721249834955
Fujian,2025.09.20.12,37084.70491696632
Fujian,2025.09.20.16,40194.628698385226
Fujian,2025.09.20.20,39358.61585696737
Fujian,2025.10.26.00,31715.208141149607
Fujian,2025.10.26.04,28771.855182174026
Fujian,2025.10.26.08,28588.795198306652
Fujian,2025.10.26.12,33429.07300224425
Fujian,2025.10.26.16,35993.02669059789
Fujian,2025.10.26.20,35912.74045249756
Fujian,2025.11.19.00,30704.221470279306
Fujian,2025.11.19.04,27954.09815183749
Fujian,2025.11.19.08,28101.378373943826
Fujian,2025.11.19.12,33225.69785723158
Fujian,2025.11.19.16,35566.40877020358
Fujian,2025.11.19.20,34343.76673010021
Fujian,2025.12.16.00,31102.598562606912
Fujian,2025.12.16.04,28312.582791030414
Fujian,2025.12.16.08,27987.10573482661
Fujian,2025.12.16.12,32449.987428504126
Fujian,2025.12.16.16,35414.10285322601
Fujian,2025.12.16.20,34502.128205216366
Jiangsu,2025.01.22.00,86769.06502137479
Jiangsu,2025.01.22.04,79283.37564359473
Jiangsu,2025.01.22.08,86472.48717708593
Jiangsu,2025.01.22.12,96066.436707405
Jiangsu,2025.01.22.16,103682.15165345938
Jiangsu,2025.01.22.20,99319.0527683925
Jiangsu,2025.02.08.00,72299.86286995311
Jiangsu,2025.02.08.04,66734.03671603021
Jiangsu,2025.02.08.08,71717.17697951526
Jiangsu,2025.02.08.12,78595.1750933816
Jiangsu,2025.02.08.16,84537.92131102
Jiangsu,2025.02.08.20,83398.86869651625
Jiangsu,2025.03.21.00,79540.05105656167
Jiangsu,2025.03.21.04,73420.77254147708
Jiangsu,2025.03.21.08,79151.48274509844
Jiangsu,2025.03.21.12,89302.11293694728
Jiangsu,2025.03.21.16,92668.71366593288
Jiangsu,2025.03.21.20,91722.62529517944
Jiangsu,2025.04.11.00,77499.5536776691
Jiangsu,2025.04.11.04,70407.24083241425
Jiangsu,2025.04.11.08,75259.03660200465
Jiangsu,2025.04.11.12,84565.32087417191
Jiangsu,2025.04.11.16,87452.22749410379
Jiangsu,2025.04.11.20,87812.73608619842
Jiangsu,2025.05.22.00,74888.58341610106
Jiangsu,2025.05.22.04,68873.86584679852
Jiangsu,2025.05.22.08,67427.1357595167
Jiangsu,2025.05.22.12,73286.59787684072
Jiangsu,2025.05.22.16,83835.19229459063
Jiangsu,2025.05.22.20,86993.69599643619
Jiangsu,2025.06.16.00,81519.16684566776
Jiangsu,2025.06.16.04,74116.64249184182
Jiangsu,2025.06.16.08,73351.9469966378
Jiangsu,2025.06.16.12,80338.49581424236
Jiangsu,2025.06.16.16,90713.65178475468
Jiangsu,2025.06.16.20,92763.9333728202
