ELECRRIC_VEHICLE_TIMEPOINTS_1,ELECRRIC_VEHICLE_TIMEPOINTS_2,StateOfChargeOfEV
Sichuan-Ev,2025.09.20.04,10746.552039999999
Sichuan-Ev,2025.09.20.08,8588.52232
Sichuan-Ev,2025.09.20.12,8588.52232
Sichuan-Ev,2025.09.20.16,7629.398
Sichuan-Ev,2025.09.20.20,10809.767052
Sichuan-Ev,2025.10.26.00,10680.775730100002
Sichuan-Ev,2025.10.26.04,11212.6537621
Sichuan-Ev,2025.10.26.08,7629.398
Sichuan-Ev,2025.10.26.12,7629.398
Sichuan-Ev,2025.10.26.16,12102.023586100002
Sichuan-Ev,2025.10.26.20,10689.495042100001
Sichuan-Ev,2025.11.19.00,8549.285416000002
Sichuan-Ev,2025.11.19.04,9068.084480000001
Sichuan-Ev,2025.11.19.08,7629.398
Sichuan-Ev,2025.11.19.12,8238.3874475
Sichuan-Ev,2025.11.19.16,7629.398
Sichuan-Ev,2025.11.19.20,8601.601288000002
Sichuan-Ev,2025.12.16.00,13290.029846099998
Sichuan-Ev,2025.12.16.04,13802.289426099998
Sichuan-Ev,2025.12.16.08,10219.033663999999
Sichuan-Ev,2025.12.16.12,9547.646639999999
Sichuan-Ev,2025.12.16.16,7629.398
Sichuan-Ev,2025.12.16.20,7629.398
Anhui-Ev,2025.01.22.00,7765.8522627
Anhui-Ev,2025.01.22.04,8171.2276747000005
Anhui-Ev,2025.01.22.08,5744.186000000001
Anhui-Ev,2025.01.22.12,6329.0672245000005
Anhui-Ev,2025.01.22.16,5744.186000000001
Anhui-Ev,2025.01.22.20,7811.8057507
Anhui-Ev,2025.02.08.00,6731.898782700001
Anhui-Ev,2025.02.08.04,7088.038314700001
Anhui-Ev,2025.02.08.08,5744.186000000001
Anhui-Ev,2025.02.08.12,5774.39017619294
Anhui-Ev,2025.02.08.16,5774.39017619294
Anhui-Ev,2025.02.08.20,5744.186000000001
Anhui-Ev,2025.03.21.00,7790.4702027
Anhui-Ev,2025.03.21.04,8171.2276747000005
Anhui-Ev,2025.03.21.08,5744.186000000001
Anhui-Ev,2025.03.21.12,5744.186000000001
Anhui-Ev,2025.03.21.16,5877.122876
Anhui-Ev,2025.03.21.20,5744.186000000001
Anhui-Ev,2025.04.11.00,6310.111410696181
Anhui-Ev,2025.04.11.04,6275.646294696181
Anhui-Ev,2025.04.11.08,5744.185999996181
Anhui-Ev,2025.04.11.12,5744.185999996211
Anhui-Ev,2025.04.11.16,5877.122876
Anhui-Ev,2025.04.11.20,5744.186000000001
Anhui-Ev,2025.05.22.00,6770.806822200001
Anhui-Ev,2025.05.22.04,6765.883234200001
Anhui-Ev,2025.05.22.08,6776.017619500001
Anhui-Ev,2025.05.22.12,8119.131396000001
Anhui-Ev,2025.05.22.16,6674.801696
Anhui-Ev,2025.05.22.20,5744.186000000001
Anhui-Ev,2025.06.16.00,6170.609750700001
Anhui-Ev,2025.06.16.04,6546.443634700001
Anhui-Ev,2025.06.16.08,5744.186000000001
Anhui-Ev,2025.06.16.12,6455.4393165
Anhui-Ev,2025.06.16.16,5744.186000000001
Anhui-Ev,2025.06.16.20,5744.186000000001
Anhui-Ev,2025.07.22.00,6155.8389867000005
Anhui-Ev,2025.07.22.04,6546.443634700001
Anhui-Ev,2025.07.22.08,5744.186000000001
Anhui-Ev,2025.07.22.12,5744.186000000001
Anhui-Ev,2025.07.22.16,5744.186000000001
Anhui-Ev,2025.07.22.20,6221.5294147
Anhui-Ev,2025.08.19.00,6155.8389867000005
Anhui-Ev,2025.08.19.04,6546.443634700001
Anhui-Ev,2025.08.19.08,5744.186000000001
Anhui-Ev,2025.08.19.12,5744.186000000001
Anhui-Ev,2025.08.19.16,6940.617884000001
Anhui-Ev,2025.08.19.20,5744.186000000001
Anhui-Ev,2025.09.20.00,8286.111394700001
Anhui-Ev,2025.09.20.04,8676.716042700002
Anhui-Ev,2025.09.20.08,6249.674368000001
Anhui-Ev,2025.09.20.12,5744.186000000001
Anhui-Ev,2025.09.20.16,5744.186000000001
Anhui-Ev,2025.09.20.20,5744.186000000001
Anhui-Ev,2025.10.26.00,6305.187822700001
Anhui-Ev,2025.10.26.04,6275.646294700001
Anhui-Ev,2025.10.26.08,5744.186000000001
Anhui-Ev,2025.10.26.12,6581.811408500001
Anhui-Ev,2025.10.26.16,6401.2798485
Anhui-Ev,2025.10.26.20,6002.4692205
Anhui-Ev,2025.11.19.00,6146.27902
Anhui-Ev,2025.11.19.04,6141.355432
Anhui-Ev,2025.11.19.08,5870.558092
Anhui-Ev,2025.11.19.12,5744.186000000001
Anhui-Ev,2025.11.19.16,5744.186000000001
Anhui-Ev,2025.11.19.20,5744.186000000001
Anhui-Ev,2025.12.16.00,6983.28898
Anhui-Ev,2025.12.16.04,7368.97004
Anhui-Ev,2025.12.16.08,5744.186000000001
Anhui-Ev,2025.12.16.12,7213.6718685000005
Anhui-Ev,2025.12.16.16,7033.063088500001
Anhui-Ev,2025.12.16.20,7042.372036000001
Fujian-Ev,2025.01.22.00,7093.499112
Fujian-Ev,2025.01.22.04,7442.5259160000005
Fujian-Ev,2025.01.22.08,5291.883576
Fujian-Ev,2025.01.22.12,5068.854
Fujian-Ev,2025.01.22.16,7210.806876000001
Fujian-Ev,2025.01.22.20,7093.499112
Fujian-Ev,2025.02.08.00,6652.9794933
Fujian-Ev,2025.02.08.04,6971.593173300001
Fujian-Ev,2025.02.08.08,5068.854
Fujian-Ev,2025.02.08.12,5250.4275915
Fujian-Ev,2025.02.08.16,5068.854
Fujian-Ev,2025.02.08.20,5068.854
Fujian-Ev,2025.03.21.00,5068.854
Fujian-Ev,2025.03.21.04,5298.8713533
Fujian-Ev,2025.03.21.08,5068.854
Fujian-Ev,2025.03.21.12,5250.4275915
Fujian-Ev,2025.03.21.16,5420.777292000001
Fujian-Ev,2025.03.21.20,5068.854
Fujian-Ev,2025.04.11.00,7052.69483729319
Fujian-Ev,2025.04.11.04,7035.31590929319
Fujian-Ev,2025.04.11.08,6088.417776
Fujian-Ev,2025.04.11.12,5865.3882
Fujian-Ev,2025.04.11.16,5068.854
Fujian-Ev,2025.04.11.20,5068.854
Fujian-Ev,2025.05.22.00,5671.0700613
Fujian-Ev,2025.05.22.04,6015.7521333
Fujian-Ev,2025.05.22.08,5068.854
Fujian-Ev,2025.05.22.12,5250.4275915
