GEN_TPS_1,GEN_TPS_2,DispatchGen
Anhui-Hydro_Nonpumped-2022,2025.12.16.00,310.6806965849336
Anhui-Hydro_Nonpumped-2022,2025.12.16.04,310.6806965849336
Anhui-Hydro_Nonpumped-2022,2025.12.16.08,310.6806965849336
Anhui-Hydro_Nonpumped-2022,2025.12.16.12,310.6806965849336
Anhui-Hydro_Nonpumped-2022,2025.12.16.16,2174.764876094546
Anhui-Hydro_Nonpumped-2022,2025.12.16.20,310.6806965849336
Anhui-PV-2022,2025.01.22.00,0.0
Anhui-PV-2022,2025.01.22.04,0.0
Anhui-PV-2022,2025.01.22.08,306.33140692000006
Anhui-PV-2022,2025.01.22.12,1669.9336934000005
Anhui-PV-2022,2025.01.22.16,693.1581846000001
Anhui-PV-2022,2025.01.22.20,0.0
Anhui-PV-2022,2025.02.08.00,0.0
Anhui-PV-2022,2025.02.08.04,0.0
Anhui-PV-2022,2025.02.08.08,346.2886182000001
Anhui-PV-2022,2025.02.08.12,1177.2851944000001
Anhui-PV-2022,2025.02.08.16,930.5384718000001
Anhui-PV-2022,2025.02.08.20,0.0
Anhui-PV-2022,2025.03.21.00,0.0
Anhui-PV-2022,2025.03.21.04,0.0
Anhui-PV-2022,2025.03.21.08,814.1161168000001
Anhui-PV-2022,2025.03.21.12,2610.7439764000005
Anhui-PV-2022,2025.03.21.16,624.7999464000001
Anhui-PV-2022,2025.03.21.20,0.0
Anhui-PV-2022,2025.04.11.00,0.0
Anhui-PV-2022,2025.04.11.04,0.0
Anhui-PV-2022,2025.04.11.08,606.4929822
Anhui-PV-2022,2025.04.11.12,1031.2155588
Anhui-PV-2022,2025.04.11.16,746.3893374000002
Anhui-PV-2022,2025.04.11.20,0.0
Anhui-PV-2022,2025.05.22.00,0.0
Anhui-PV-2022,2025.05.22.04,0.0
Anhui-PV-2022,2025.05.22.08,3044.7164020000005
Anhui-PV-2022,2025.05.22.12,6223.932918000001
Anhui-PV-2022,2025.05.22.16,2112.0786120000007
Anhui-PV-2022,2025.05.22.20,0.0
Anhui-PV-2022,2025.06.16.00,0.0
Anhui-PV-2022,2025.06.16.04,0.0
Anhui-PV-2022,2025.06.16.08,4106.144014
Anhui-PV-2022,2025.06.16.12,6579.963978000001
Anhui-PV-2022,2025.06.16.16,2480.5572540000003
Anhui-PV-2022,2025.06.16.20,0.0
Anhui-PV-2022,2025.07.22.00,0.0
Anhui-PV-2022,2025.07.22.04,0.0
Anhui-PV-2022,2025.07.22.08,2366.3132640000003
Anhui-PV-2022,2025.07.22.12,5115.237456000001
Anhui-PV-2022,2025.07.22.16,2604.5249160000003
Anhui-PV-2022,2025.07.22.20,0.0
Anhui-PV-2022,2025.08.19.00,0.0
Anhui-PV-2022,2025.08.19.04,0.0
Anhui-PV-2022,2025.08.19.08,1034.3018938
Anhui-PV-2022,2025.08.19.12,2690.0663720000002
Anhui-PV-2022,2025.08.19.16,933.9536598000003
Anhui-PV-2022,2025.08.19.20,0.0
Anhui-PV-2022,2025.09.20.00,0.0
Anhui-PV-2022,2025.09.20.04,0.0
Anhui-PV-2022,2025.09.20.08,3181.187497600001
Anhui-PV-2022,2025.09.20.12,7169.723302000001
Anhui-PV-2022,2025.09.20.16,1844.4945120000004
Anhui-PV-2022,2025.09.20.20,0.0
Anhui-PV-2022,2025.10.26.00,0.0
Anhui-PV-2022,2025.10.26.04,0.0
Anhui-PV-2022,2025.10.26.08,3712.233056000001
Anhui-PV-2022,2025.10.26.12,7272.380374
Anhui-PV-2022,2025.10.26.16,1059.9484602000002
Anhui-PV-2022,2025.10.26.20,0.0
Anhui-PV-2022,2025.11.19.00,0.0
Anhui-PV-2022,2025.11.19.04,0.0
Anhui-PV-2022,2025.11.19.08,574.6181994000001
Anhui-PV-2022,2025.11.19.12,2264.5096838000004
Anhui-PV-2022,2025.11.19.16,127.29611216000002
Anhui-PV-2022,2025.11.19.20,0.0
Anhui-PV-2022,2025.12.16.00,0.0
Anhui-PV-2022,2025.12.16.04,0.0
Anhui-PV-2022,2025.12.16.08,2641.1718060000003
Anhui-PV-2022,2025.12.16.12,7020.381312000001
Anhui-PV-2022,2025.12.16.16,719.2987172000002
Anhui-PV-2022,2025.12.16.20,0.0
Anhui-Wind-2022,2025.01.22.00,722.9639340000002
Anhui-Wind-2022,2025.01.22.04,607.9194800000001
Anhui-Wind-2022,2025.01.22.08,542.5192780000001
Anhui-Wind-2022,2025.01.22.12,784.3167360000001
Anhui-Wind-2022,2025.01.22.16,1194.289446
Anhui-Wind-2022,2025.01.22.20,1247.3335140000002
Anhui-Wind-2022,2025.02.08.00,1076.9553200000003
Anhui-Wind-2022,2025.02.08.04,1500.6718440000002
Anhui-Wind-2022,2025.02.08.08,1232.7455280000004
Anhui-Wind-2022,2025.02.08.12,1024.130968
Anhui-Wind-2022,2025.02.08.16,878.7830520000002
Anhui-Wind-2022,2025.02.08.20,548.0196946000001
Anhui-Wind-2022,2025.03.21.00,1142.008602
Anhui-Wind-2022,2025.03.21.04,1259.452586
Anhui-Wind-2022,2025.03.21.08,1283.1530040000005
Anhui-Wind-2022,2025.03.21.12,1331.2072060000003
Anhui-Wind-2022,2025.03.21.16,1074.0469740000003
Anhui-Wind-2022,2025.03.21.20,406.70241080000005
Anhui-Wind-2022,2025.04.11.00,849.8210140000001
Anhui-Wind-2022,2025.04.11.04,1049.571768
Anhui-Wind-2022,2025.04.11.08,925.3050240000002
Anhui-Wind-2022,2025.04.11.12,1072.520526
Anhui-Wind-2022,2025.04.11.16,1145.6686080000002
Anhui-Wind-2022,2025.04.11.20,828.1096040000001
Anhui-Wind-2022,2025.05.22.00,430.51326500000005
Anhui-Wind-2022,2025.05.22.04,452.6935952000001
Anhui-Wind-2022,2025.05.22.08,287.39604460000004
Anhui-Wind-2022,2025.05.22.12,233.43668600000004
Anhui-Wind-2022,2025.05.22.16,251.7078060000001
Anhui-Wind-2022,2025.05.22.20,51.41076864000001
Anhui-Wind-2022,2025.06.16.00,195.81610300000003
Anhui-Wind-2022,2025.06.16.04,134.284059
Anhui-Wind-2022,2025.06.16.08,91.5915056
Anhui-Wind-2022,2025.06.16.12,55.263546520000006
Anhui-Wind-2022,2025.06.16.16,235.72693620000004
Anhui-Wind-2022,2025.06.16.20,711.5444840000001
Anhui-Wind-2022,2025.07.22.00,1354.9770080000003
Anhui-Wind-2022,2025.07.22.04,1227.1658980000002
Anhui-Wind-2022,2025.07.22.08,745.5657720000002
Anhui-Wind-2022,2025.07.22.12,690.8622700000001
Anhui-Wind-2022,2025.07.22.16,953.1916100000002
Anhui-Wind-2022,2025.07.22.20,873.7700580000002
Anhui-Wind-2022,2025.08.19.00,827.7048640000002
Anhui-Wind-2022,2025.08.19.04,648.0870340000001
Anhui-Wind-2022,2025.08.19.08,524.9402634
Anhui-Wind-2022,2025.08.19.12,580.4838900000001
Anhui-Wind-2022,2025.08.19.16,609.39389
Anhui-Wind-2022,2025.08.19.20,369.44667200000004
Anhui-Wind-2022,2025.09.20.00,735.4472720000001
Anhui-Wind-2022,2025.09.20.04,506.30140820000014
Anhui-Wind-2022,2025.09.20.08,412.81745400000005
Anhui-Wind-2022,2025.09.20.12,501.01897300000013
Anhui-Wind-2022,2025.09.20.16,881.1883640000002
Anhui-Wind-2022,2025.09.20.20,901.9688720000001
Anhui-Wind-2022,2025.10.26.00,464.3258228000001
Anhui-Wind-2022,2025.10.26.04,443.42447100000004
Anhui-Wind-2022,2025.10.26.08,156.32735580000002
Anhui-Wind-2022,2025.10.26.12,173.57159260000003
Anhui-Wind-2022,2025.10.26.16,316.62116360000005
Anhui-Wind-2022,2025.10.26.20,183.44609220000004
Anhui-Wind-2022,2025.11.19.00,851.0583620000001
Anhui-Wind-2022,2025.11.19.04,773.1921680000002
Anhui-Wind-2022,2025.11.19.08,1120.1468600000005
Anhui-Wind-2022,2025.11.19.12,1299.093978
Anhui-Wind-2022,2025.11.19.16,1788.9103260000002
Anhui-Wind-2022,2025.11.19.20,1039.2162060000003
Anhui-Wind-2022,2025.12.16.00,2122.5201620000003
Anhui-Wind-2022,2025.12.16.04,2097.4320640000005
Anhui-Wind-2022,2025.12.16.08,1823.2727520000003
Anhui-Wind-2022,2025.12.16.12,1621.3364020000004
Anhui-Wind-2022,2025.12.16.16,1793.6342200000001
Anhui-Wind-2022,2025.12.16.20,1792.8652140000002
Beijing-Central_PV-2022,2025.01.22.00,0.0
Beijing-Central_PV-2022,2025.01.22.04,0.0
Beijing-Central_PV-2022,2025.01.22.08,10.434008550000003
Beijing-Central_PV-2022,2025.01.22.12,20.490575000000007
Beijing-Central_PV-2022,2025.01.22.16,8.802360000000002
Beijing-Central_PV-2022,2025.01.22.20,0.0
Beijing-Central_PV-2022,2025.02.08.00,0.0
Beijing-Central_PV-2022,2025.02.08.04,0.0
Beijing-Central_PV-2022,2025.02.08.08,3.5871276875000007
Beijing-Central_PV-2022,2025.02.08.12,13.385091125000004
Beijing-Central_PV-2022,2025.02.08.16,4.335157400000001
Beijing-Central_PV-2022,2025.02.08.20,0.0
Beijing-Central_PV-2022,2025.03.21.00,0.0
Beijing-Central_PV-2022,2025.03.21.04,0.0
Beijing-Central_PV-2022,2025.03.21.08,9.151682225000004
Beijing-Central_PV-2022,2025.03.21.12,22.21023612500001
Beijing-Central_PV-2022,2025.03.21.16,12.674333875000002
Beijing-Central_PV-2022,2025.03.21.20,0.0
Beijing-Central_PV-2022,2025.04.11.00,0.0
Beijing-Central_PV-2022,2025.04.11.04,0.0
Beijing-Central_PV-2022,2025.04.11.08,28.83464412500001
Beijing-Central_PV-2022,2025.04.11.12,32.340398125000014
Beijing-Central_PV-2022,2025.04.11.16,5.441737875000001
Beijing-Central_PV-2022,2025.04.11.20,0.0
Beijing-Central_PV-2022,2025.05.22.00,0.0
Beijing-Central_PV-2022,2025.05.22.04,0.0
Beijing-Central_PV-2022,2025.05.22.08,32.89619900000001
Beijing-Central_PV-2022,2025.05.22.12,31.271009875000008
Beijing-Central_PV-2022,2025.05.22.16,30.66630087500001
Beijing-Central_PV-2022,2025.05.22.20,0.0
